DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:42:14.572,701,0,20210105 02:42:14.572,1.22679,1.22675,1.22677,1.226787,1.226083,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:14.849,702,0,20210105 02:42:14.849,1.22679,1.22676,1.226775,1.226787,1.226083,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:14.951,703,0,20210105 02:42:14.951,1.2268,1.22678,1.22679,1.226787,1.226084,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:15.257,704,0,20210105 02:42:15.257,1.22682,1.22677,1.226795,1.226787,1.226084,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:15.410,705,0,20210105 02:42:15.410,1.22681,1.22679,1.2268,1.226787,1.226084,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:15.461,706,0,20210105 02:42:15.461,1.22681,1.22677,1.22679,1.226787,1.226085,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:15.563,707,0,20210105 02:42:15.563,1.22682,1.22677,1.226795,1.226788,1.226085,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:15.689,708,0,20210105 02:42:15.689,1.22681,1.22677,1.22679,1.226788,1.226085,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:17.206,709,0,20210105 02:42:17.206,1.22682,1.22677,1.226795,1.226788,1.226086,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:18.206,710,0,20210105 02:42:18.206,1.2268,1.22678,1.22679,1.226788,1.226086,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:19.112,711,0,20210105 02:42:19.112,1.2268,1.22677,1.226785,1.226788,1.226086,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:19.214,712,0,20210105 02:42:19.214,1.22681,1.22677,1.22679,1.226788,1.226087,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:19.542,713,0,20210105 02:42:19.542,1.22679,1.22675,1.22677,1.226787,1.226087,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:19.695,714,0,20210105 02:42:19.695,1.22679,1.22674,1.226765,1.226787,1.226087,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:23.852,715,0,20210105 02:42:23.852,1.22678,1.22674,1.22676,1.226785,1.226088,1.226807,,,,,0,,,,,,,,
